Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00244499,,,,
n_elems,125563,,,,
E1,18309401227.76493073,21898008852.57430267,16928061980.62096214,19413035416.59763336,18580030765.94079208
E2,18253360717.03371048,,,,
v12,0.25727361,0.27750453,0.27523393,0.27636923,0.27642377
v21,0.24644361,,,,
G12,7185547770.29634857,8657648370.56181145,6567374236.05211544,7612511303.30696297,7248058411.22475529
V_fiber,0.44990949,,,,
V_matrix,0.55009051,,,,
V_pore,0.00000000,,,,
tcpumax,19.18334649,,,,
