Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00390625,,,,
n_elems,49152,,,,
E1,18127662819.01236725,21831789802.21353531,16881680383.48856544,19356735092.85105133,18288952197.46450043
E2,18018998752.01434326,,,,
v12,0.28611839,0.27765502,0.27538602,0.27652052,0.27644890
v21,0.28448258,,,,
G12,7169100572.52041435,8630605066.07881355,6548844493.11898518,7589724779.59889984,7127774226.51647091
V_fiber,0.44689954,,,,
V_matrix,0.55310046,,,,
V_pore,0.00000000,,,,
tcpumax,5.31525978,,,,
