Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00293255,,,,
n_elems,87296,,,,
E1,18128364607.13500977,21868451584.06860352,16907327825.28959846,19387889704.67910004,18319263841.30077744
E2,18034666676.90579605,,,,
v12,0.28642504,0.27757170,0.27530180,0.27643675,0.27636492
v21,0.28502556,,,,
G12,7178296106.93253708,8645577430.13710785,6559090434.54853535,7602333932.34282112,7139989639.15049648
V_fiber,0.44856598,,,,
V_matrix,0.55143402,,,,
V_pore,0.00000000,,,,
tcpumax,14.25397371,,,,
