Property,Value,Voigt,Reuss
h,0.00735294,,
E1,74694847649.59796143,132203692650.86029053,41830296349.02529144
E2,99332299770.92619324,,
v12,0.32290873,0.32083475,0.28357487
v21,0.25808137,,
G12,30579365076.53726578,47407723481.79623413,17094388986.15628815
G23,30561491107.83129501,,
V_fiber,0.42459645,,
V_matrix,0.57540355,,
V_pore,0.00000000,,
tcpumax,0.896481,,
