Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00490196,,,,
n_elems,31212,,,,
E1,18023084766.16668320,21697429594.78518677,16788347619.08361435,19242888606.93440247,18178424725.43440628
E2,17937098270.78050613,,,,
v12,0.28654146,0.27796039,0.27569514,0.27682777,0.27675689
v21,0.28504479,,,,
G12,7131351806.29106617,8575733484.86332130,6511566644.82279110,7543650064.84305573,7083241010.38093853
V_fiber,0.44079225,,,,
V_matrix,0.55920775,,,,
V_pore,0.00000000,,,,
tcpumax,2.80818346,,,,
