Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00980392,,,,
n_elems,7752,,,,
E1,17041968854.10158157,20366362352.76552200,15916586073.92453766,18141474213.34503174,17129002819.09777641
E2,16963018911.96951103,,,,
v12,0.28857904,0.28098554,0.27879542,0.27989048,0.27982806
v21,0.28629234,,,,
G12,6727774570.78353214,8032136793.01752758,6163969674.91655540,7098053233.96704102,6661091956.85945415
V_fiber,0.38028920,,,,
V_matrix,0.61971080,,,,
V_pore,0.00000000,,,,
tcpumax,0.47517248,,,,
