Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00175131,,,,
n_elems,292352,,,,
E1,15750362396.38159370,18457949039.06385803,14813711606.97802162,16635830323.02093887,15919644357.61435127
E2,15744007883.59176636,,,,
v12,0.26102751,0.28532284,0.28336408,0.28434346,0.28440473
v21,0.24661641,,,,
G12,6073542182.96873569,7252756810.35894489,5725746772.17948055,6489251791.26921272,6178162552.03323364
V_fiber,0.29354314,,,,
V_matrix,0.70645686,,,,
V_pore,0.00000000,,,,
tcpumax,76.90160466,,,,
