Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00244499,,,,
n_elems,125563,,,,
E1,18138049637.85001755,21898008852.57430267,16928061980.62096214,19413035416.59763336,18343749551.18744278
E2,18051529104.36725998,,,,
v12,0.28650875,0.27750453,0.27523393,0.27636923,0.27629724
v21,0.28522206,,,,
G12,7185548493.35628986,8657648370.56181145,6567374236.05211544,7612511303.30696297,7149857984.97418690
V_fiber,0.44990949,,,,
V_matrix,0.55009051,,,,
V_pore,0.00000000,,,,
tcpumax,19.89419290,,,,
