Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00244499,,,,
n_elems,125563,,,,
E1,16966131321.81717873,20005382333.86700821,15695556874.12788963,17850469603.99744797,17056747187.22239113
E2,16786380621.19517517,,,,
v12,0.26061091,0.28180595,0.27964826,0.28072711,0.28078750
v21,0.23819434,,,,
G12,6552309991.46283245,7884715582.50232983,6076008298.14968681,6980361940.32600784,6634542341.34197044
V_fiber,0.36388102,,,,
V_matrix,0.63611898,,,,
V_pore,0.00000000,,,,
tcpumax,18.66588879,,,,
