Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00332226,,,,
n_elems,84280,,,,
E1,14909700869.38343620,17550640426.15911102,14341271863.81920815,15945956144.98915863,15151007915.71441650
E2,15113460438.93894958,,,,
v12,0.29092820,0.28738491,0.28558907,0.28648699,0.28644659
v21,0.29332233,,,,
G12,5839153346.69364357,6882219586.62721634,5538543788.07302761,6210381687.35012245,5868734030.94064808
V_fiber,0.25230184,,,,
V_matrix,0.74769816,,,,
V_pore,0.00000000,,,,
tcpumax,12.19124105,,,,
