Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00286533,,,,
n_elems,107143,,,,
E1,17418067552.92901993,21222740066.54504013,16466711859.81734657,18844725963.18119431,17794853511.39071655
E2,17795777985.64033127,,,,
v12,0.28152067,0.27903923,0.27679283,0.27791603,0.27784797
v21,0.28681580,,,,
G12,6928140410.70535374,8381874264.93867302,6383196695.00161934,7382535479.97014618,6928800113.78153324
V_fiber,0.41921546,,,,
V_matrix,0.58078454,,,,
V_pore,0.00000000,,,,
tcpumax,16.23438364,,,,
