Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00244499,,,,
n_elems,125563,,,,
E1,16830260330.43639374,20254533984.12321472,15847450566.57329559,18050992275.34825516,17044435797.70520020
E2,16876262085.96674156,,,,
v12,0.28801562,0.28123970,0.27905907,0.28014938,0.28008775
v21,0.28710527,,,,
G12,6646418125.54308701,7986467025.68388653,6136448966.25540543,7061457995.96964645,6627126745.93073177
V_fiber,0.37520609,,,,
V_matrix,0.62479391,,,,
V_pore,0.00000000,,,,
tcpumax,19.15722354,,,,
