Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00331126,,,,
n_elems,87882,,,,
E1,17034880573.42261314,20697665801.71174622,16124994508.51462936,18411330155.11318970,17382722549.43302536
E2,17477095246.52419662,,,,
v12,0.28416297,0.28023258,0.27801726,0.27912492,0.27906024
v21,0.28607996,,,,
G12,6780376508.03458977,8167438341.39836407,6246971177.75578785,7207204759.57707596,6763042838.33328247
V_fiber,0.39534845,,,,
V_matrix,0.60465155,,,,
V_pore,0.00000000,,,,
tcpumax,12.30610477,,,,
