Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00244499,,,,
n_elems,125563,,,,
E1,15347308766.47599220,18104512335.56027985,14626021416.36353111,16365266875.96190643,15516622256.74034882
E2,15379332453.67277718,,,,
v12,0.28962078,0.28612611,0.28422668,0.28517639,0.28513140
v21,0.28970288,,,,
G12,5982854978.32968998,7108416226.55049133,5651337842.31644249,6379877034.43346691,6014867902.63190365
V_fiber,0.27747783,,,,
V_matrix,0.72252217,,,,
V_pore,0.00000000,,,,
tcpumax,19.01873570,,,,
