Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00244499,,,,
n_elems,125563,,,,
E1,18917419395.78822327,22994485577.42632294,17734878364.62628937,20364681971.02630615,19283457803.93497086
E2,18955071131.88434601,,,,
v12,0.28234806,0.27501253,0.27273970,0.27387612,0.27379891
v21,0.28360087,,,,
G12,7602800645.52246761,9105440263.78809166,6890188166.54246807,7997814215.16527939,7529090785.47312450
V_fiber,0.49974934,,,,
V_matrix,0.50025066,,,,
V_pore,0.00000000,,,,
tcpumax,22.00964944,,,,
