Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00244499,,,,
n_elems,125563,,,,
E1,18318020270.67626190,21898008852.56855774,16928061980.61693001,19413035416.59274292,18580030765.93593216
E2,18260621322.57066727,,,,
v12,0.25756366,0.27750453,0.27523393,0.27636923,0.27642377
v21,0.24682340,,,,
G12,7185584645.33942127,8657648370.55946732,6567374236.05050278,7612511303.30498505,7248058411.22279263
V_fiber,0.44990949,,,,
V_matrix,0.55009051,,,,
V_pore,0.00000000,,,,
tcpumax,23.24771914,,,,
