Property,Value,Voigt,Reuss,Hill,HalpinTsai
h,0.00175131,,,,
n_elems,292352,,,,
E1,14591792848.63358307,18238123319.04844284,54388277.28574138,9146255798.16709137,15433120211.44423676
E2,13654971758.41057587,,,,
v12,0.28832796,0.28532284,0.28336408,0.28434346,0.28429557
v21,0.27059237,,,,
G12,5596396187.50434208,7168208456.50678825,20918945.98927314,3594563701.24803066,5984725126.59839439
V_fiber,0.29354314,,,,
V_matrix,0.68813653,,,,
V_pore,0.01832034,,,,
tcpumax,86.74910594,,,,
